year,month,day,country,state,city,hour,minute,operator,flight,actype,registration,cn_ln,ground,summary,route,totalAboard,passengerAboard,crewAboard,totalFatality,passengerFatality,crewFatality
1948,1,6,France,?,Paris,19,30,Air France,?,Douglas DC-3D,F-BAXC,42972,0,Crashed into trees a few hundred yards away from the runway while attempting to land at Le Bourget Airport. Both weather and pilot error were considered as causative factors in the accident.,"Brussels,Paris",16,11,5,16,11,5
1948,1,6,United Kingdom,?,Ruislip,0,0,British European Airways,?,Vickers 610 Viking 1B,G-AHPK,148,0,"After two or three failed approaches, the plane struck trees and crashed into a field. Poor judgment on the part of the pilot attempting to land in VFR conditions in limited visibility and poor weather conditions and not diverting to another airport.","Renfrew,Northolt",18,14,4,1,0,1
1948,1,7,United States of America,Georgia,Savannah,7,45,Coastal Air Lines,?,Douglas DC-3,N60331,12968,0,"After both engines stopped in flight and attempts to restart them failed, the aircraft banked sharply, stalled and crashed 10 miles east northeast of Savannah. The fuel selector valves were positioned so that both engines were supplied fuel from only one of the auxilliary tanks until the fuel was exhausted and control of the plane was lost.","Charlston,Savannah",27,25,2,18,17,1
1948,1,8,Algeria,?,Palestro,0,0,Transport Comp. Algerienne de T.A.,?,Douglas DC-3,F-BDLG,275,0,Crashed into a mountainside 50 miles south of Algiers after an engine failed.,"Algiers,Biskra",9,7,2,9,7,2
1948,1,11,Dominican Rep.,?,Ciudad Havajillo,0,0,Dominicana,?,Douglas DC-3,HI-6,4735,0,Crashed in mountainous terrain about 15 miles north northwest of Santo Domingo. Unable to land in darkness and unlighted airport of its intended destination the plane turned back when it struck the mountain. Weather and navigational error were considered factors in the accident.,"Santa Cruz de Barahona,Santiago de los Caballeros",32,29,3,32,29,3
1948,1,13,United States of America,Maryland,Oxon Hill,4,36,Eastern Air Lines,572,Douglas DC-3-201F,NC28384,4092,0,"The aircraft crashed during approach, 5.2 miles short of the runway, in poor weather conditions. Failure of the crew to follow prescribed  procedures and maintain a safe altitude during an ILS approach.","Atlanta,Washington D.C.",9,6,3,5,3,2
1948,1,20,China,?,Mukden,0,0,China National Aviation Corporation,?,Curtiss C-46,?,?,0,"The heavily loaded plane rose 50 ft. into the air, nosed down and crashed in a snowstorm",,54,51,3,11,11,0
1948,1,28,United States of America,California,?,10,50,Airline Transport Carriers,?,Douglas DC-3 (C-47B-DK),NC36480,16850/33598,0,"The crew took the wrong plane which was scheduled for maintenance.  An in-flight fire caused the engine and then wing to separate from the aircraft and crash out of control. Tests showed a fuel pump was broken in the left engine and would spray gasoline out where it could be ignited by the exhaust. The failure of the left wing in flight as a result of damage by fire which had its source in a defective left engine driven fuel pump.The crash became the impetus for the Woody Guthrie song ""Deportee.""","Burbank,Oakland",32,29,3,32,29,3
1948,2,7,United States of America,Florida,Jacksonville,13,27,Eastern Air Lines,611,Lockheed L-649 Constellation,NC112A,2533,0,The No. 3 propeller failed and penetrated the fuselage killing a purser.The failure of a propeller blade due to high stresses induced by accumulative engine malfunctioning.,"Boston,NY,West Palm Beach,Miami",69,63,6,1,0,1
1948,2,10,Indonesia,West Java,Padalarang,16,30,KLM Royal Dutch Airlines,?,Douglas DC-3,PK-REA,16380/33128,0,Crashed and burned on the island of Java. The crew reported they lost an engine. While trying to return the plane crashed and exploded.,"Bandung,Jakarta,Banjoemans,Semarang",19,15,4,19,15,4
1948,2,12,Germany,?,Ubrichstein,13,25,Det Danske Luftfartselskab,?,Douglas DC-3,OY-DCI,7330,0,"In marginal weather conditions, the crew informed ground that an engine failed and was forced to make an emergency landing as they were unable to maintain a safe altitude. The aircraft crash landed in a field located in Ulrichstein, about 70 km northeast of Frankfurt Airport.","Giessen,Bad Homberg",21,17,4,12,8,4
1948,2,20,Italy,?,Collesalvetti,13,40,Societ_ Aerea Teseo,?,Douglas C-47-DL,I-REGI,4312,0,"The pilot chose to fly the short distance between Florence and  Rome below the cloud base. The weather suddenly became worse and the plane entered clouds at low level, drifted off course and struck a hill.","Florence,Pisa,Rome",10,7,3,7,4,3
1948,2,21,France,?,St. Marcouf,14,0,Latecoere Airlines,?,Latecoere 631 (flying boat),F-BDRD,7,0,"The aircraft was seen at Ste. Mere l'Eglise where it passed very low in poor weather and snow showers before crashing into the English Channel, 50 miles west of La Harvre. It had turned back after encountering adverse weather conditions.",,14,7,7,14,7,7
1948,2,23,Philippines,?,Davao,0,0,Commercial Airways,?,Douglas DC-3,PI-C262,?,0,Crashed  5 minutes after taking off from Mati.,,12,9,3,12,9,3
1948,2,25,United States of America,Ohio,Columbus,6,0,Bruning Aviation,?,Douglas C-47A,NC36498,12527,0,The cargo plane struck trees while attempting to land.The continuation of an instrument approach below an altitude sufficient to clear the terrain en route.,"Pittsburgh, PA,Columbus, OH",2,0,2,2,0,2
1948,2,27,Brazil,Para,Belem,0,0,Military - Brazilian Air Force,?,Douglas C-47,2040,20048,0,"The plane, carrying Brazilian service personnel and their dependents crashed and burned after stalling short of the runway while attempting to land.","Rio de Janeiro,Bele,Cayenne",26,20,6,23,17,6
1948,3,2,France,?,Perpignan,0,0,Soci梨_梨 de Transports A梨_iens,?,Junkers Ju-52/3m,F-BBYC,AAC223,0,The cargo flight crashed into the Gulf of Lion,"Oran,Perpignan,Lyon",4,0,4,4,0,4
1948,3,2,United Kingdom,?,London,21,14,Sabena,?,Douglas DC-3,OO-AWH,43154,0,The plane crashed during a ground control approach in poor weather conditions. Misjudgement by the pilot when attempting to land at night in conditions of low visibility. Last DC-3 built.,"Brussels,London",22,19,3,20,17,3
1948,3,7,Iceland,?,Skalafell,0,0,Loftleidir Icelandic Airlines,?,Avro Anson,TF-RVL,4185,0,Crashed into a slope of Mt Skalafell located near Hellisheioi in poor weather condtions.,"Vestmannaeyjar,Reykjavik",4,2,2,4,2,2
1948,3,10,United States of America,Illinois,Chicago,22,58,Delta Air Lines,700,Douglas DC-4,NC37478,18390,0,"During takeoff, the aircraft went into a near vertical climb to an altitude of 500 - 800 feet, stalled and crashed.  Loss of longitudinal control of the airplane for reasons undetermined.","Chicago,Miami",13,9,4,12,8,4
1948,3,12,United States of America,Alaska,?,21,14,Northwest Orient Airlines,4422,Douglas DC-4 (C-54G-1-DO),NC95422,35966/DO360,0,"On a charter flight from Lunghwa Airport, Shanghai to La Guardia Airport, New York the plane crashed into the western slope of Mt. Sanford at an altitude of 11,000 feet after taking off from Anchorage, Alaska. Pilot's failure to see Mt. Sanford due to obscuring clouds or aurora borealis while flying a course off the airway.","Anchorage,New York City",30,24,6,30,24,6
1948,3,13,Brazil,?,Sierra Cristais,0,0,Cruzeiro,?,Douglas DC-3,PP-CBX,11658,0,Struck a mountain peak in the Sierra Cristais.,,6,3,3,6,3,3
1948,3,15,Colombia,?,Villa Pinzon,0,0,Agencia Interamericana de Aviada,?,Douglas DC-3 (C47-DL),C-1002,6252,0,Crashed into the slope of Alto El Arrastradero mountain located 50 miles from Bogota.,"El Secreto,Bogota",14,10,4,14,10,4
1948,3,27,France,Corsica,?,7,30,Indian National Airlines,?,Vickers 604 Viking 1B,VT-CEL,166,0,"Crashed into a 7,800 ft. mountain obscured by clouds while en route.","Delhi,Rome,London",19,15,4,19,15,4
1948,4,5,Germany,?,Berlin,14,30,British European Airways / Military - Soviet Air Force,?,Vickers Viking 1B & Soviet YAK-3 fighter,G-AIVP,229,0,"The aircraft was circling Gatow in preparation for landing when the DC-3 collided head on with the Russian Air Force Yakovlev 3 fighter, which was performing aerobatics. A total of 14 killed on the Vickers Viking and one on the YAK fighter. The collision was caused by the action of the Yak fighter's pilot, which was in disregard of the accepted rules of flying.","London,Berlin",14,10,4,14,10,4
1948,4,10,Nigeria,Kano,Kano,8,33,Air France,?,Douglas DC-4,F-BBDC,42935,0,"Following the failure of the starter on engine number one, the crew was unable to restart this engine and received the authorization to perform an empty leg back to Paris for maintenance purposes. During the takeoff roll in Kano Airport, the aircraft went out of control and veered off runway before colliding with a BOAC technical hangar. A crew member was killed while five others were injured. The crew failed to follow the pre-flight checklist and did not realized the nose wheel was not configured for the takeoff procedure.","Lagos,Kano,Algiers,Paris",6,0,6,1,0,1
1948,4,15,Ireland,?,Shannon,2,35,Pan American World Airways,1 10,Lockheed L-049-46 Constellation,NC-88858,2058,0,"While executing a second instrument approach at Shannon Airport, the aircraft struck the ground 2,380 feet from the approach end of the intended runway, broke apart and burned. Continuation of an instrument approach to an altitude insufficient to clear the terrain. The failure of a fluorescent light may have been a contributing cause. The plane was named ""Clipper Empress of the Skies.""","Belgium,Shannon",31,21,10,30,20,10
1948,4,24,Russia,?,Irkutsk,9,30,Aeroflot,?,Lisnov Li-2,CCCP-L4460,3704,0,"Crashed in an icy river, 20 miles from its destination. The flight crew who had been drinking the previous night, diverted from the correct route and had been flying at an altitude of about 300 ft. when they crashed.","Kirensk,Badaybo",29,25,4,28,24,4
1948,5,13,France,?,?,17,30,Skyways of London,?,de Havilland Dove 1,G-AJOU,4058,0,"The aircraft crashed in a storm.  Kathleen Kennedy Cavendish, 28, sister of  President John F. Kennedy, killed.","Croydon,Paris,Cannes",4,2,2,4,2,2
1948,5,15,South Africa,?,Vrede,7,20,Mercury Aviation,?,Douglas DC-3-455,ZS-BWY,6341,0,"Crashed into Spitzkop mountain after drifting off course in poor weather. The aircraft was named ""Miss France.""","Durban,Johannesburg,London",13,8,5,13,8,5
1948,5,16,United States of America,Ohio,Columbus,20,42,Slick Airways,?,Curtiss C-46E,NC59489,2938,0,"Cargo flight. The in-flight failure of the fuselage carry-in structure beneath the fin, due to extreme turbulence.","Newark, NJ,Chicago, IL",2,0,2,2,0,2
1948,5,20,United Kingdom,?,Bovingdon,23,30,Air Transport Charter,?,Douglas C-47A,G-AJBG,14003/25448,0,"Cargo flight. While maneuvering at night under the base of low cloud prepatory to landing, the aircraft lost height and struck the ground. The cause of the accident was not determined.","Valence,Bovingdon",4,0,4,3,0,3
1948,5,22,Russia,?,Khabarovsk,18,40,Aeroflot,?,Douglas C-47,CCCP-L1073,17054/34321,0,"The aircraft collided with the western slope of  Marchekanskoy  hill, 70 m from the top. ATC error.","Petropavlovsk,Kamchatsky,Magadan",9,5,4,8,4,4
1948,5,25,Spain,?,Albacete,0,0,Alpha Airways,?,Handley Page Halifax C-8,G-AKBA,1303,1,Crashed on takeoff during a training flight after hitting a private aircraft.,"Albacete,Albacete",4,0,4,4,0,4
1948,6,10,Isle of Man,?,?,20,0,Hargreaves Airways,?,de Havilland DH-89A Dragon Rapide,G-AIUI,6675,0,Crashed into a hill near Port Erin while attempting to land. The plane had failed to maintain both the proper course to the homing beacon and suffiecient altitude to clear the terrain.,"Birmingham, England,Isle of Man",8,7,1,6,5,1
1948,6,17,United States of America,Pennsylvania,Mount Carmel,12,41,United Air Lines,624,Douglas DC-6,NC37506,42871/12,0,"The plane crashed after an in-flight fire in cargo hold. The crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. When the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  The aircraft crashed through high voltage lines and exploded on a hillside. After the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the CAA also ordered carbon dioxide extinguishers installed. Earl Carroll,  U.S. theatrical impresario killed. Douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. They suppressed reports to the CAA which resulted in only a warning being added to the flight manual. The aircraft was named Mainliner Utah.","Chicago,New York City",43,39,4,43,39,4
1948,6,17,China,?,?,0,0,Cathy Pacific,?,PBY Catalina,?,?,0,"A Catalina seaplane was hijacked by a group attempting to rob the passengers; following a struggle in the cockpit, the plane crashed killing all on board except one passenger who was later identified as the lead hijacker. This is the earliest known airliner hijacking.","Macau,Hong Kong",26,23,3,25,22,3
1948,6,26,Venezuela,?,Maiquetia,0,0,Linea Aeropostal Venezolana,?,Douglas DC-3,YV-C-AHI,16992/34254,0,Crashed during a landing attempt.,,17,14,3,1,0,1
1948,7,1,Belgium,?,Keerbergen,12,0,Avio Linee Italiane,?,Fiat G.212CP,I-ELSA,4,0,Crashed after overrunning the runway in heavy rain.,"Milano,Brussels",12,7,5,8,4,4
1948,7,4,United Kingdom,Middlesex,Northolt,16,0,Scandinavian Airlines (SAS),?,Douglas DC-6 / RAF York,SE-BDA/ MW248,43119/111,0,"A midair collision occurred between a SAS DC-6 and a Royal Air Force Avro York MW248. Twenty-five passengers and 7 crew on the DC-6,  one passenger and six crew on the York. The accident was caused by human fallibility on the part of both ground and flilght personnel.","Stockholm,Amsterdam,Northolt",39,26,13,39,26,13
1948,7,14,Brazil,Par찼,Belem,0,0,Aerovias Brasil,?,Douglas C-47A,PP-AVO,19113,0,The cargo plane lost control and crashed shortly after leaving the runway. The pilot did not apply the procedure recommended by the airline and attempted to make a turn after takeoff below the specified altitude of 100 meters.,,5,2,3,5,2,3
1948,7,24,Canada,Quebec,Cap-des-Rosiers,17,30,Rimouski Airlines,?,Douglas DC-3,CF-FKY,6246,0,"The aircraft hit a mountain top at Cap-des-Rosiers, 12 miles from its destination in fog and burned.","Port Meunier,Gasp梨",29,27,2,29,27,2
1948,7,29,Argentina,?,Buenos Aires,9,15,ALFA,343,Short Sandringham 2 (flying boat),LV-AAP,SH-02C,0,Crashed and sank near the shore of the River Plate while attempting to land in fog. Pilot error. Attempting to land atop water in conditions of fog and poor visibility which were below the prescribed minima.,"Rosario,Bueno Aires",24,18,6,18,16,2
1948,7,29,China,?,Tsingtao,0,0,Civil Air Transport,?,Curtiss C-46D-20-CU,XT-822,22355,0,Crashed while attempting to take off. Went into a spin after taking off and plunged into the ground from about 300 ft.,"Qingdao,Jinan",19,16,3,19,16,3
1948,8,1,Pakistan,?,Karachi,9,40,Onzeair,?,Avro 691 Lancastrian (flying boat),AP-ACM,37031,0,"Cargo flight. An error in judgement on the part of the pilot in allowing the aircraft to stall while coming in to land. The contributory causes were probably overload, badly loaded with CG too far aft, movement of load due to it not being secured.",,4,0,4,4,0,4
1948,8,9,New Zealand,?,Port Underwood,8,45,New Zealand National Airways,?,Douglas C-47B,ZK-AOE,16383/33131,0,"The cargo fllight hit the slope of a mountain located in Rununder Point, near Port Underwood, 32 km northeast of Blenheim in poor weather.","Blenheim,Paraparaumu",2,0,2,2,0,2
1948,8,20,Venezuela,?,La Guaira,0,0,Avensa,?,Douglas C-47A,YV-C-AVN,19985,0,The cargo plane disappeared en route  over the Caribbean Sea.,"Maiquet梨_,Las Piedras,Maracaibo",3,0,3,3,0,3
1948,8,29,United States of America,Minnesota,Winona,17,5,Northwest Orient Airlines,421,Martin 202,NC93044,9165,0,"Crashed following the separation of the left wing after the aircraft entered a thunderstorm. Loss of the outer panel of the left wing which separated as a result of a fatigue crack which was induced by a faulty design of a wing flange, aggravated by severe turbulence of the thunderstorm.","Chicago,Minneapolis",37,33,4,37,33,4
1948,8,31,Belgium,?,Elizabethville,0,0,Sabena,?,Douglas DC-3 (Douglas C-47A-10-DK),OO-CBL,12420,0,Crashed en route. Reasons undetermined.,"Manono,Elizabethville",13,10,3,13,10,3
1948,9,2,Australia,New South Wales,Quirindi,20,15,Australian National Airways,331,Douglas DC-3,VH-ANK,9999,0,"Strayed off course and struck Square Peak Mountain at an altitude of 4,600 feet.","Brisbane,Sidney",13,10,3,13,10,3
1948,9,30,Kazakhstan,?,Balkhash,12,50,Aeroflot,60,Lisunov LI-2,CCCP-L4304,18423902,0,"A few minutes after takeoff, while climbing, the aircraft flew into clouds and control was lost. The aircraft banked right and lost altitude crashing in an isolated area located about 39 km northwest of Balkhash","Alma Ata,Balkhash,Karaganda,Moscow",15,11,4,15,11,4
1948,10,2,Norway,?,Trondheim,10,30,Norwegian Airlines,?,Short Sandringham 6 (flying boat),LN-IWA,SH-52C,0,Crashed in Hommelvika Bay  while attempting to land in crosswinds and high seas.,"Fornebu,Hommelvik",45,38,7,19,16,3
1948,10,12,Azerbaijan,?,Yevlakh,13,0,Aeroflot,?,Ilyushin Il12,CCCP-L1450,8302517,0,"Crashed after turning back towards its point of departure afer encounteing low clouds, rain and icing conditions as well as poor navigational difficulties due to poor reception of radio beacons.","Tashkent,Baku,Tbilisi,Sochi",10,4,6,10,4,6
1948,10,21,United Kingdom,Scotland,?,0,35,KLM Royal Dutch Airlines,?,Lockheed 049-46-25 Constellation,PH-TEN,2083,0,"The aircraft was on a flight from Amsterdam to New York with a stopover at Prestwick Scotland. The aircraft attempted to land on Runway 32 but the crew choose to go-around due to strong cross winds and asked to land on Runway 26.  While circling to line up with the runway, the aircraft ran into a heavy fog bank and crashed into high voltage power lines at an elevation of 400 feet and burst into flames. The crashed occurred 5 miles east-northeast of the airport. Improper flight procedures by the crew. Lack of information supplied to the crew by the tower. The aircraft was named ""Nijmegen"" after the old Dutch town close to the West German border.","Amsterdam,Prestwick,New York City",40,30,10,40,30,10
1948,10,23,New Zealand,?,?,14,15,New Zealand National Airways,?,Lockheed 10A Electra,ZK-AGK,1128,0,Crashed 700 feet from the summit of a mountain while en route in low visibility. Lack of navigational aids in the area contributed to the accident cause.,"Palmerston,Hamilton",13,10,3,13,10,3
1948,10,25,Russia,Georgia,?,14,0,Aerflot,?,Lisunov Li-2,CCCP-L4500,1401,0,Crashed in the Caucasus Mountains in adverse weather while en route. The crew deviated from its prescribed course. Poor flight planning. Crew drank alcohol before the flight.,"Krasnodar,Karachayevsk,Sukhumi,Tbilisi",18,14,4,18,14,4
1948,10,27,Canada,Alberta,Edmonton,16,50,Northwest Orient Airlines,6427,Douglas C-54A,NC88785,10406,0,Cargo flight. The captain's action in undertaking simulated emergency procedures at a dangerously low altitude.,"Minneapolis,Edmonton,Anchorage,Tokyo",5,0,5,2,0,2
1948,11,3,United Kingdom,?,Glossop,10,50,Military - U.S. Air Force,?,Boeing B-29A Superfortress,44-61999,11476,0,"Twenty-five minutes into the flight, the pilot descended prematurely and collided with a cloud covered mountain.","RAF Scrampton,Burtonwood AFB",13,0,13,13,0,13
1948,11,4,United States of America,Alaska,?,4,45,Pacific Alaska Air Freight,?,Douglas DC-3,N66637,11800,0,Lost contact with the aircraft after the crew reported passing Cape Spencer. The wreckage was never found.  Cause undetermined.,"Anchorage,Homer,Yakutat,Annette Island,Seattle",17,15,2,17,15,2
1948,11,8,Australia,Victoria,Mt. Macedon,7,40,Australian National Airways,?,Douglas DC-3,VH-UZK,2003,0,Crashed into Mt. Macedon hidden in fog. The pilot deviated off course from his flight plan and failed to follow VFR flight rules.,"Melbourne,Denilquin",23,19,4,3,0,3
1948,11,11,United Kingdom,?,Liverpool,18,15,Mannin Airways,?,de Havilland DH-89A Dragon Rapide,G-AKOF,6538,0,Crashed after running out of fuel when diverted to Liverpool because of adverse weather.,"Isle of Man,Dublin, Ireland",8,6,2,7,5,2
1948,11,22,Russia,?,Ryzhovo,0,0,Aeroflot,?,Lisunov Li-2,CCCP L-4463,?,0,"After experiencing communication problems the crew attempted to land at a small airport, stalled and crashed into the ice-covered Kolyma River. Crew error.","Zyryanka,Srednekymsk",26,21,5,23,18,5
1948,11,26,Pakistan,?,Vehari,11,15,Pakistan Airways,?,Douglas DC-3,AP-ACE,12775,0,"The plane crashed shortly after taking off and climbing to 7,000 feet. The aircraft was seen trailing smoke before crashing in flames. The omission of a sealing washer on the carburetor fuel filter of the port engine resulting in fuel leaking on to the ignition systems, culminating in a severe oil fire which finally involved the main port fuel tanks.","Karachi,Lohore",21,16,5,21,16,5
1948,12,5,China,?,Kiangwan,0,0,Central Air Transport,?,Curtiss C-46,XT-538,?,0,"Overshot runway, crashed and burned.","Chengdu,Shanghai",40,37,3,9,7,2
1948,12,6,Italy,?,Milan,10,30,"Avio Linee Italiane
Avio Linee Italiane",?,Douglas C-47,I-ETNA,4396,0,The aircraft crashed during takeoff in fog.,"Milan,Brussels",7,6,1,7,6,1
1948,12,12,Taiwan,?,Taipei,0,0,China National Aviation Corporation,?,Douglas DC-3,?,?,0,Crashed while attempting to land.,"Shanghai,Taipei",10,8,2,2,0,2
1948,12,15,Colombia,?,Bogata,6,0,LANSA,?,Douglas C-47,C-310,13807,0,Crashed shortly after taking off from Bogota. Possible accidental detonation of fire works being carried aboard leading to the in-flight separation of the wing.,"Bogota,Barranquilla",30,27,3,30,27,3
1948,12,21,Greece,?,Pilos,16,37,Ceskoslovenske Aerolinie,?,Douglas DC-3,OK-WDE,12894,0,Crashed in the Taigetos Mountains while en route after being shot down by Greek insurgents.,"Rome,Athens",24,19,5,24,19,5
1948,12,21,China,?,Hong Kong,14,0,China National Aviation Corporation,?,Douglas C-54B-5-DO,XT-104,18348,0,"Crashed on Balsalt Island  while attempting a visual approach through clouds. The pilot came down through a hole in the overcast but became trapped when the weather closed in. He reversed course but crashed into a small mountain. Pilot error. Quentin Roosevelt, son of Teddy Roosevelt killed.","Shanghai,Hong Konk",33,29,4,33,29,4
1948,12,23,Spain,?,Madrid,9,30,Iberia Airlines,?,Douglas DC-3 (C-47-DL),EC-ABK,4256,0,Crashed into Pandols Mountain while en route in poor weather conditions.,"Madrid,Barcelona",27,24,3,27,24,3
1948,12,28,Puerto Rico,?,San Juan,4,13,Airborne Transport,?,Douglas DC-3DST,N16002,1496,0,Radio contact was lost after the crew reported being 50 nm south of Miami. Departure from San Juan with known electrical problems and discharged batteries. Ditched in the Gulf of Mexico after it ran out of fuel. Offical cause unknown.,"San Juan,Miami",32,29,3,32,29,3
1948,12,31,Italy,?,?,17,52,Pan African Air Charter,?,Douglas DC-3,ZS-BYX,12587,0,Crashed into Mt. Arbetello in poor visibility. Poor visibility and geographical features made recognition of terrain difficult and likely mislead the pilot into believing he was out at sea.,"Athens,Rome,Nice",13,8,5,13,8,5
1949,1,2,United States of America,Washington,Seattle,22,5,Seattle Air Charter,?,Douglas DC-3 (C-47A-DL),NC79025,10181,0,"The aircraft took off in fog with a group of Yale University students returning to school following their Christmas vacation.  About midway down the runway the plane swerved to the left and became airborne.  The left wing dropped the wing tip dragged on the runway.  After about 750 feet, the tail wheel made contact with the runway.  The engines were cut and the plane skidded for 700 feet until it hit a hanger and burst into flames.  The accident was caused by the crew's attempt to take off in an airplane which had formations of ice and frost on the surfaces of the wings.  In addition, the plane was overloaded by 1,500 lbs.","Seattle,New Haven",30,27,3,14,11,3
1949,1,5,Brazil,Bahia,Caravelas,0,0,British South American Airways,?,Avro 685 York 1,G-AHEX,1301,0,"A blown tire during takeoff led to damage to the landing gear, engine and oil line. Lack of oil caused loss of the engine and the crew was not able to feather the prop. This led to overspeeding and an engine fire. The plane made a spiral descent and crashed to the ground.",,17,11,6,3,3,0
1949,1,6,United States of America,Maryland,Brandywine,7,20,Coastal Cargo,?,Douglas C-47A,NC53210,13777,0,"Cargo plane. The loss of control of the aircraft which resulted from an icing condition, turbulence, and lack of alertness on the part of the crew. As a result, the aircraft spun, and during the spins, or attempted recovery from the spins, severe air loads were encountered which failed the left horizontal stabilizer and the elevators.","Raleigh, NC,Boston, MA",2,0,2,2,0,2
1949,1,11,Brazil,Rio Grande do Sul,Pelotas,0,0,Viacao Aerea Gaucha S.A.,?,Lockheed 18 Lodestar,PP-SAC,?,0,The aircraft crashed shortly after taking off. Engine failure due to fuel contamination.,"Porto Alegre,Sao Borja",12,8,4,12,8,4
1949,1,15,Egypt,?,Ras-el-Tin,0,0,Pan African Air Charter,?,Douglas C-54 Skymaster,ZS-AYB,19584,0,Ditched in a lagoon.,,30,0,0,30,0,0
1949,1,16,India,Jammu and Kashmir,Srinagar,0,0,Dalmia Jain Airways,?,Douglas DC-3,VT-CDZ,14145/25590,0,Crashed en route.,,13,4,9,13,4,9
1949,1,20,United States of America,Alaska,Homer,20,5,Alaska Airlines,8,Douglas DC-3C,N91006,20208,0,"The aircraft departed Homer at night under VFR conditions contrary to company and federal regulations, strayed off course and struck a 3,000 ft. mountain, 27 miles northeast of Homer. The action of the pilot in proceeding off the designated airway at an altitude insufficient to clear the terrain.","Homer,Anchorage",6,3,3,5,3,2
1949,1,30,United States of America,New York,Port Washington,16,22,Pan American World Airways,100,Lockheed L-749 / Cessna 140,NC86530/NC76981,2528 /?,0,"Midair collision. Two killed on the Cessna, none on the Lockheed which laned safely. The joint failure of the Constellation pilots to observe and avoid the Cessna aircraft in flight and of the Cessna pilot, while on an airway and in an area where a heavy concentration of traffic could be expected, to remain alert and avoid the Constellation.The aircraft was named ""Clipper Monarch of the Skies.""",,35,23,12,2,1,1
1949,2,2,Canada,Newfoundland and Labrador,?,16,0,Saint Lawrence Airways,?,Avro Anson,CF-FEO,3708,0,Crashed shortly after taking off.,"Trinity,Rimouski",10,0,0,6,0,0
1949,2,4,Libya,?,Castel Benito,0,0,Skyways of London,?,Douglas C-54A-1-DO Skymaster,G-AJPL,7464,0,"The No. 4, followed by the No. 3 engines failed on initial approach. The plane lost altitude and crashed into trees.  Failure of the captain to maintain a safe height, by utilizing the available power of the starboard engines after power failure in the port engine. The reason for this failure by the captain cannot be determined. The power failure in the port engines was caused by fuel starvation brought about by an insuffuciency of fuel in the port tanks. This fuel shortage was the result of the wing tanks being allowed to become progressively unbalanced during the last stage of the flight.","Khartoum,Castel Benito",53,44,9,1,0,1
1949,2,5,Colombia,Valle del Cauca,Buenaventura,0,0,AVIANCA,?,Consolidated PBY-5A Catalina,HK-134,?,0,Crashed while attempting to land.,,14,10,4,3,1,2
1949,2,8,Denmark,?,Copenhagen,19,56,Scandinavian Airlines (SAS),?,Vickers 628 Viking 1B,OY-DLU,199,0,"Crashed in the sea off the Swedish coast after the pilot was told to enter a holding pattern for Copenhagen, since it was closed to inbound traffic. The aircraft was directed to land on Runway 22 but failed to make the landing. The wreckage was found a month later on the bottom of the ocean. Cause undetermined.","Paris,Copenhagen",27,23,4,27,23,4
1949,2,10,Peru,Huanuco,?,0,0,Faucett,?,Douglas DC-3,OB-PAV-223,15374/26819,0,Struck a mountain as the plane approached Huanuco.,"Tingo Maria,Huanuco",16,13,3,16,13,3
1949,2,19,United Kingdom,Warwickshire,Coventry,9,45,British European Airways / Military - British,?,Douglas DC-3 / Avro Anson,G-AHCW/VV243,13308,0,"Midair collision between a DC-3 and a RAF Avro Anson at 4,500 feet.  Both planes disintegrated and fell to the ground. Ten killed on the DC-3, four on the Avro Anson. Failure on the part of the pilot of each aircraft to ensure the maintenance of an effective lookout.","London,Glasgow",14,6,8,14,6,8
1949,2,24,Peru,?,Cuzco,8,0,TAM (Peru),?,Douglas C-47,?,?,0,The aircraft lost control and crashed following a blown tire on takeoff.,"Cuzco,Lima",26,22,4,22,20,2
1949,2,24,Hong Kong,?,?,11,0,Cathay Pacific Airways,?,Douglas DC-3,VR-HDG,20576,0,Crashed near Braemar Resevoir after a go-around in poor weather. The crash was attributed to pilot error.,"Manila, Philippines,Hong Kong",23,19,4,23,19,4
1949,3,10,Australia,Queensland,Coolangatta,9,50,Queensland Airlines,?,Lockheed 18 Lodestar,VH-BAG,2194,0,"Crashed on takeoff from Coolangatta.  After becoming airborne, the aircraft was seen to climb very steeply and stall when at a height of 300 ft., roll to the left and crash.","Coolangatta,Brisbane",22,19,3,22,19,3
1949,3,15,Germany,?,Berlin,0,0,Skyways,?,Avro 685 York I,G-AHFI,1316,0,The cargo plane crashed while attempting to land.,,3,0,3,3,0,3
1949,3,18,New Zealand,?,Waikanae,9,40,New Zealand National Airways,?,Lockheed 18 Lodestar,ZK-AKX,2382,0,Crashed into a hill while on approach in low overcast. A navigational error by the pilot-in-command..,"Auckland,Wellington",15,13,2,15,13,2
1949,4,29,Russia,?,Mironovo,12,20,Aeroflot,?,Lisunov Li-2,SSSR-L4464,?,0,"The flight deviated 60 miles off the proper course, the crew initiated a descent without either establishing their position or making  visual contact with the ground. The plane crashed into a mountain.","Yakutsk,Kirensk",24,18,6,14,11,3
